Date,Last Price_PSEI,Change Percent_PSEI,Last Price_PHP_USD,Change_PHP_USD,Change Percent_PHP_USD,Inflation_Rate,Interest_Rate,Last_Price_PSEI_Lag1,Last_Price_PSEI_Lag2,Change_x_Per_Inflation,Log_Volume,Log_Trade,Log_Share,Log_Net_Foreign
2024-07-16,6667.09,-0.33,58.377,-0.083,-0.14,3.3,6.25,6689.37,6529.43,-73.524,22.411514929989643,10.800615852145526,5.8690991534676265,19.53569118170923
2024-07-17,6687.71,0.31,58.27,-0.11,-0.18,3.3,6.25,6667.09,6556.66,68.046,22.163100965231298,10.760898389671993,6.544458458734518,20.388603962031116
2024-07-18,6705.01,0.26,58.33,0.06,0.1,3.3,6.25,6687.71,6489.35,57.089999999999996,22.251493694171888,10.908173703172075,0.7323678937132266,19.771244297707398
2024-07-19,6791.69,1.29,58.4005,0.0705,0.12,3.3,6.25,6705.01,6609.24,286.044,22.64605356872707,11.020610784963102,6.377899729309341,21.087908951228766
2024-07-23,6753.12,0.61,58.46,0.08,0.13,3.3,6.25,6712.05,6689.37,135.531,22.42619409265,10.814986823674152,5.998787667487763,19.90892230423763
2024-07-26,6726.01,0.84,58.501,-0.079,-0.13,3.3,6.25,6670.27,6705.01,183.942,22.198028846282742,10.658223595765195,6.830020738772716,18.184705226484212
2024-07-30,6606.36,-0.64,58.57,-0.07,-0.12,3.3,6.25,6649.23,6712.05,-141.47099999999998,22.255822705260538,10.805699643800724,6.607366146053996,-20.225323533989858
2024-07-31,6619.09,0.19,58.32,-0.25,-0.43,3.3,6.25,6606.36,6753.12,42.009,22.449597501029945,10.789958047997803,6.045455449676586,-16.80068736810932
2024-08-02,6605.3,-1.32,57.93,-0.33,-0.57,2.3,6.0,6693.83,6670.27,-203.619,22.328695728183774,10.725049935309642,6.27468668883767,-19.05746919613281
2024-08-06,6433.24,-0.02,57.785,-0.045,-0.08,2.3,6.0,6434.73,6649.23,-3.4269999999999996,22.35642027619314,10.928471241312758,6.040278520517782,-20.270363151086244
2024-08-07,6535.17,1.58,57.658,-0.127,-0.22,2.3,6.0,6433.24,6606.36,234.439,22.314539778956508,10.78975197290331,6.299610792692117,-20.053815653516207
2024-08-08,6549.27,0.22,57.39,-0.27,-0.46,2.3,6.0,6535.17,6619.09,32.43,22.136688865697863,10.706631982470423,6.619246197986375,15.85932505153463
2024-08-09,6647.8,1.5,57.26,-0.13,-0.23,2.3,6.0,6549.27,6693.83,226.61899999999997,22.536460587057665,10.792016466624613,6.75454582273163,18.286577770863992
2024-08-13,6650.44,0.56,56.9475,-0.3525,-0.62,2.3,6.0,6613.36,6434.73,85.28399999999999,22.328695728183774,10.971829619297056,6.410257115427008,18.616494215816275
2024-08-14,6704.96,0.82,56.94,-0.01,-0.01,2.3,6.0,6650.44,6433.24,125.396,22.66344531143642,11.1823498092948,6.509096952086894,19.94133115975703
2024-08-15,6692.91,-0.18,57.253,0.313,0.55,2.3,6.0,6704.96,6535.17,-27.715,22.428013929366653,10.98666466270383,6.138676926788369,15.090873637706453
2024-08-16,6847.37,2.31,57.0905,-0.1625,-0.28,2.3,6.0,6692.91,6549.27,355.258,22.68897861343796,11.162246793119436,6.552322420478672,20.299168218218455
2024-08-20,6944.76,0.8,56.565,-0.045,-0.08,2.3,6.0,6889.87,6613.36,126.24699999999999,22.81389456814042,11.233621531028959,6.513793750257388,21.44597182023334
2024-08-21,6900.62,-0.64,56.5,-0.06,-0.11,2.3,6.0,6944.76,6650.44,-101.52199999999999,22.360318916608037,10.993916448396218,6.762417319478123,20.152814052839553
2024-08-22,6961.96,0.89,56.31,-0.19,-0.34,2.3,6.0,6900.62,6704.96,141.082,22.667746393335193,11.010084545108258,6.483443686327593,21.57341676674337
2024-08-28,6958.01,-0.22,56.252,-0.026,-0.05,2.3,6.0,6973.41,6944.76,-35.419999999999995,22.39849149010578,11.025344251183697,0.8197798314933114,20.347932184073056
2024-08-29,6891.55,-0.96,56.226,-0.026,-0.05,2.3,6.0,6958.01,6900.62,-152.85799999999998,22.616377800585354,11.1447705923684,6.867547679016221,20.605337791901675
2024-08-30,6897.54,0.09,56.221,-0.005,-0.01,2.3,6.0,6891.55,6961.96,13.777,23.311781469428563,11.287667179180453,1.007957920399979,-19.539912323088515
2024-09-04,6882.12,-0.01,56.43,-0.07,-0.12,2.3,6.0,6882.92,6973.41,-1.8399999999999999,22.438863945388757,11.001949829953112,6.483993808590856,18.797266159371883
2024-09-05,6907.97,0.38,55.98,-0.45,-0.8,2.3,6.0,6882.12,6958.01,59.455,22.34660665474674,10.96476135554887,6.2514991770059405,19.372222786700608
2024-09-06,6936.09,0.41,56.259,0.279,0.5,2.3,6.0,6907.97,6891.55,64.676,22.534827933634045,10.96458833319395,6.664982835278964,19.82550241214025
2024-09-10,6984.63,0.01,56.275,-0.026,-0.05,2.3,6.0,6984.25,6923.41,0.8739999999999999,22.70564566592086,11.286413747748252,6.656533703533131,20.447854834012798
2024-09-11,6944.88,-0.57,55.971,-0.304,-0.54,2.3,6.0,6984.63,6882.92,-91.425,22.805204258949523,11.142890240043943,6.832859304128131,19.646189968744906
2024-09-12,7024.67,1.15,56.15,0.18,0.32,2.3,6.0,6944.88,6882.12,183.517,22.420714626886376,10.929009300010007,0.7178397931503168,19.669091400578473
2024-09-13,7022.85,-0.03,56.0,-0.15,-0.27,2.3,6.0,7024.67,6907.97,-4.186,22.411514929989643,10.960426790193678,6.54599600313404,19.056834208285437
2024-09-17,7175.36,1.0,55.62,-0.18,-0.32,2.3,6.0,7104.2,6984.63,163.66799999999998,22.623879711236025,11.05407540279458,6.570616820484405,20.50815245856747
2024-09-18,7155.9,-0.27,55.7,0.08,0.14,2.3,6.0,7175.36,6944.88,-44.757999999999996,22.538090579268328,11.048840287088053,6.780660271178305,20.466914460083242
2024-09-19,7202.16,0.65,55.52,-0.18,-0.32,2.3,6.0,7155.9,7024.67,106.39799999999998,22.822510006044975,11.263579098784021,6.550094134621877,21.247994366473108
2024-09-20,7252.32,0.7,55.653,0.133,0.24,2.3,6.0,7202.16,7022.85,115.36799999999998,23.555302017888504,11.539284980189086,0.7371640659767196,20.970125915659185
2024-09-24,7432.21,0.2,56.22,0.2,0.36,2.3,6.0,7417.25,7104.2,34.408,23.19051755158051,11.556090312864955,0.7030975114131134,21.818539224683455
2024-09-25,7362.62,-0.94,55.88,-0.34,-0.6,2.3,6.0,7432.21,7175.36,-160.057,22.808937928501106,11.340724521560253,0.7275486072772779,20.64120943757263
2024-09-26,7458.74,1.31,55.65,-0.23,-0.41,2.3,6.0,7362.62,7155.9,221.076,23.251391605934195,11.2764560169856,0.7793248768009975,22.289796248578003
2024-09-27,7428.3,-0.41,55.98,0.33,0.59,2.3,6.0,7458.74,7202.16,-70.012,22.664881061862317,11.225256725762893,0.8628899551470398,18.984629991730205
2024-10-01,7380.32,1.48,56.3735,0.3935,0.7,2.3,6.0,7272.65,7417.25,247.641,22.521669849058696,10.977994972525236,0.7561219797213337,19.955007106047347
2024-10-02,7402.81,0.3,56.15,-0.22,-0.4,2.3,6.0,7380.32,7432.21,51.72699999999999,22.188833379191756,10.922713862281604,0.7701082216960737,20.107172287680438
2024-10-03,7388.92,-0.19,56.44,0.29,0.52,2.3,6.0,7402.81,7362.62,-31.947,22.722039475694295,11.07953916300766,0.6981347220709843,19.47673342167994
2024-10-04,7467.92,1.07,56.655,0.215,0.38,2.3,6.0,7388.92,7458.74,181.7,22.538090579268328,11.049953058639625,6.6764157320683895,20.225570303368272
2024-10-08,7537.25,-0.23,56.829,0.032,0.06,2.3,6.0,7554.68,7272.65,-40.089,22.72339357204184,11.064307523045168,0.797507195884188,19.874820654303335
2024-10-09,7424.52,-1.5,57.1,0.27,0.48,2.3,6.0,7537.25,7380.32,-259.279,22.390972657693165,11.11648451637668,6.822262747961777,-19.813826582504287
2024-10-10,7411.47,-0.18,57.38,0.28,0.49,2.3,6.0,7424.52,7402.81,-30.015,22.44424512429231,10.921269323289689,0.7275486072772779,-18.113883821231553
2024-10-11,7310.32,-1.36,57.22,-0.16,-0.28,2.3,6.0,7411.47,7388.92,-232.64499999999998,22.429830460292724,11.101356767801578,6.542399911801849,-17.127512397265107
2024-10-15,7456.31,1.77,57.82,0.36,0.62,2.3,6.0,7326.41,7537.25,298.77,22.581125108034996,11.27923903227946,6.372449103472618,20.274083924960003
2024-10-16,7437.0,-0.26,57.74,-0.08,-0.14,2.3,6.0,7456.31,7424.52,-44.413,22.662007496666998,10.996936534247357,6.724745485407573,20.550423213974906
2024-10-17,7400.33,-0.49,57.79,0.05,0.09,2.3,6.0,7437.0,7411.47,-84.341,22.499911668533624,11.112164276066547,6.844815479208263,-17.6839995822586
2024-10-18,7415.73,0.21,57.5675,-0.2225,-0.39,2.3,6.0,7400.33,7310.32,35.419999999999995,22.573294214455675,10.819598268208338,0.8919980393051105,18.97324314945317
2024-10-22,7413.16,0.09,57.78,0.18,0.31,2.3,6.0,7406.63,7326.41,15.019,22.392857672388583,11.221248757912162,6.821750667761008,-16.59059622274678
2024-10-23,7367.66,-0.61,58.078,0.298,0.52,2.3,6.0,7413.16,7456.31,-104.64999999999999,22.23177783101179,10.92018454800297,0.7884573603642703,-18.885923062376218
2024-10-24,7283.79,-1.14,57.9265,-0.1515,-0.26,2.3,6.0,7367.66,7437.0,-192.90099999999998,22.060895026347488,10.901745293274272,6.656276551490569,-19.14547193469103
2024-10-25,7314.23,0.42,58.378,0.4515,0.78,2.3,6.0,7283.79,7400.33,70.012,22.15835036247383,10.785207543360087,6.594249287587536,15.844973861243904
2024-10-29,7239.98,-1.41,58.334,0.019,0.03,2.3,6.0,7343.24,7406.63,-237.498,22.542964675025782,11.144047798304321,6.3397241814453675,-20.654547928725023
2024-10-30,7280.24,0.56,58.2505,-0.0835,-0.14,2.3,6.0,7239.98,7413.16,92.59799999999998,22.428013929366653,11.061798544294122,6.611745292180813,-20.21250687929152
2024-10-31,7142.96,-1.89,58.2655,0.015,0.03,2.3,6.0,7280.24,7367.66,-315.74399999999997,22.415204971076417,11.043577620650547,6.68982312471846,-20.99329297492283
2024-11-05,7257.94,1.71,58.48,0.02,0.03,2.3,6.0,7136.1,7343.24,280.23199999999997,22.326685677256155,11.025018523586803,0.7080357930536961,-17.879395929883795
2024-11-06,7165.42,-1.27,58.87,0.39,0.67,2.3,6.0,7257.94,7239.98,-212.79599999999996,22.26228128529856,10.876366535738475,0.85015092936961,-20.83659452314627
2024-11-07,7014.44,-2.11,58.335,-0.535,-0.91,2.3,6.0,7165.42,7280.24,-347.25399999999996,22.997451455521638,11.46027335307133,0.7466879474879753,-22.08424239033842
2024-11-08,6977.18,-0.53,58.4585,0.1235,0.21,2.3,6.0,7014.44,7142.96,-85.698,22.57172065000849,11.212644356941933,6.527153500598662,-21.365119723645122
2024-11-12,6810.11,-1.87,58.7,0.05,0.09,2.3,6.0,6940.01,7136.1,-298.77,22.44424512429231,11.010910909482787,6.435717582423407,-20.827625853171554
2024-11-13,6714.33,-1.41,58.837,0.137,0.23,2.3,6.0,6810.11,7257.94,-220.29399999999998,22.660567611609217,11.076139953912703,6.385447318107112,-20.9055873945737
2024-11-14,6557.09,-2.34,58.99,0.15,0.26,2.3,6.0,6714.33,7165.42,-361.652,22.742160878891017,11.323107883049328,6.51490526492155,-21.441105630584534
2024-11-15,6676.65,1.82,58.7555,-0.2345,-0.4,2.3,6.0,6557.09,7014.44,274.988,22.635766924018306,11.12359449878062,6.105016421792097,-20.581898107134432
2024-11-19,6803.19,0.62,58.88,0.2,0.34,2.3,6.0,6761.35,6940.01,96.232,22.41888144580505,11.0739707892748,6.664868098631316,-20.863027780191135
2024-11-20,6975.63,2.53,58.98,0.1,0.17,2.3,6.0,6803.19,6810.11,396.61199999999997,22.40595421130598,10.983613347424248,6.5968318736572735,18.224787519292285
2024-11-21,6863.01,-1.61,58.95,-0.03,-0.05,2.3,6.0,6975.63,6714.33,-259.026,22.453149902633683,10.958339506208922,0.8628899551470398,-13.082709450427489
2024-11-22,6780.13,-1.21,58.955,0.005,0.01,2.3,6.0,6863.01,6557.09,-190.62399999999997,21.870668290101413,10.818997980052007,6.406252726676998,-20.186250231801072
2024-11-26,6806.86,-0.63,58.9665,-0.037,-0.06,2.3,6.0,6850.0,6761.35,-99.222,22.24932214065885,10.859787148429518,6.378069583574789,-20.137303508729698
2024-11-27,6702.59,-1.53,58.7145,-0.252,-0.43,2.3,6.0,6806.86,6803.19,-239.82099999999997,22.174879664421137,10.849550656077264,5.930864924979052,-20.105318890804515
2024-11-28,6638.54,-0.96,58.68,-0.03,-0.06,2.3,6.0,6702.59,6975.63,-147.31499999999997,22.31657436765388,10.870300281424473,6.883103915541008,-20.880269586610776
2024-11-29,6613.85,-0.37,58.609,-0.071,-0.12,2.3,6.0,6638.54,6863.01,-56.787,22.4811237546712,10.981233648522853,6.007977455482195,-20.94640938906062
2024-12-03,6734.21,-0.13,58.52,-0.22,-0.37,2.3,6.0,6742.89,6850.0,-19.964,22.47593791763973,11.080310101740798,6.201988809065814,-19.781503441663084
2024-12-04,6729.96,-0.06,58.15,-0.37,-0.63,2.3,6.0,6734.21,6806.86,-9.774999999999999,22.79769483692833,10.913833131159125,6.231819135152546,-20.102104380020176
2024-12-05,6690.77,-0.58,57.749,-0.401,-0.69,2.3,6.0,6729.96,6702.59,-90.13699999999999,22.568566073260474,10.97337452485014,6.7614107186376,-19.96523874578214
2024-12-06,6729.14,0.57,57.84,0.09,0.16,2.3,6.0,6690.77,6638.54,88.25099999999999,22.465484860789463,11.0085953661978,6.759487262313034,-19.85512220776006
2024-12-10,6724.82,0.66,58.041,0.05,0.09,2.3,6.0,6680.57,6742.89,101.77499999999999,22.868026844863987,11.076758851984476,6.665097558763625,21.0159354516555
2024-12-11,6642.71,-1.22,58.344,0.303,0.52,2.3,6.0,6724.82,6734.21,-188.85299999999998,22.377677115214446,11.014867980481917,6.809072418077552,-20.025769213257345
2024-12-12,6641.35,-0.02,58.285,-0.059,-0.1,2.3,6.0,6642.71,6729.96,-3.128,22.544584108577823,11.12977453345857,6.380207279071757,-19.760433663255444
2024-12-13,6616.51,-0.37,58.661,0.376,0.65,2.3,6.0,6641.35,6690.77,-57.132,22.336695770849254,10.96648993456911,0.7884573603642703,-20.215568649516413
2024-12-17,6501.71,-1.72,59.003,0.17,0.29,2.3,6.0,6615.16,6680.57,-260.935,22.610335486130307,11.099846444456379,0.7561219797213337,-21.030750537429665
2024-12-18,6469.08,-0.5,58.983,-0.02,-0.03,2.3,6.0,6501.71,6724.82,-75.049,22.508336318191454,11.004779580825998,0.8712933659434192,-20.00430842153894
2024-12-19,6395.6,-1.14,59.076,0.093,0.16,2.3,6.0,6469.08,6642.71,-169.004,22.520012847851344,11.131533265280341,6.3908109742079695,-20.720852929224538
2024-12-20,6406.38,0.17,58.744,-0.332,-0.56,2.3,6.0,6395.6,6641.35,24.793999999999997,22.662007496666998,10.96458833319395,6.192710077320975,-20.472044262783
2024-12-27,6528.79,-0.16,57.908,-0.162,-0.28,2.3,6.0,6539.02,6395.6,-23.529,22.15596657111912,10.736418414365376,0.7793248768009975,-18.540772233078577
2025-01-03,6603.81,0.82,58.067,0.073,0.13,2.3,6.0,6550.39,6539.02,122.866,22.052989846842458,10.971829619297056,1.3270750014599193,-18.962946899366965
2025-01-10,6496.32,-0.23,58.642,0.188,0.32,2.3,6.0,6511.57,6550.39,-35.074999999999996,22.050340838671584,10.767242112707454,0.712949807856125,-17.64262907807424
2025-01-14,6299.67,-0.68,58.724,0.064,0.11,2.3,6.0,6343.1,6625.17,-99.889,22.47246569192958,11.069929814564968,6.560903359349308,-20.602972153374477
2025-01-15,6330.46,0.49,58.63,-0.09,-0.16,2.3,6.0,6299.67,6545.38,70.817,22.417044897998085,11.109173887928804,6.38602036470811,-20.108153197041673
2025-01-16,6265.52,-1.03,58.55,-0.08,-0.14,2.3,6.0,6330.46,6496.72,-149.362,22.546200923804466,11.038126355768453,6.875149439233223,-20.818576017659826
2025-01-17,6352.12,1.38,58.444,-0.106,-0.18,2.3,6.0,6265.52,6511.57,199.17999999999998,22.31860482520385,10.887455624298198,6.902622126870389,-18.39402872322504
2025-01-21,6340.21,-0.15,58.35,0.02,0.04,2.3,6.0,6349.89,6343.1,-22.264,22.0765203442465,10.721746404137187,0.6981347220709843,-18.969668834588045
2025-01-22,6348.34,0.13,58.54,0.19,0.33,2.3,6.0,6340.21,6299.67,18.699,22.26656394708964,10.86877795044219,6.76078542189077,-19.81754405889521
2025-01-23,6378.86,0.48,58.66,0.12,0.2,2.3,6.0,6348.34,6330.46,70.196,22.13181080724562,10.832714252818556,6.808155913759382,-18.912812731384317
2025-01-24,6296.2,-1.3,58.307,-0.353,-0.6,2.3,6.0,6378.86,6265.52,-190.11799999999997,22.279302972864368,10.660336967143055,0.7608058290337599,-20.83659452314627
2025-01-28,6153.47,-0.7,58.49,0.14,0.24,2.3,6.0,6196.88,6349.89,-99.84299999999999,22.453149902633683,10.934552353218534,0.928219302739429,19.110422136394536
2025-01-31,5862.59,-4.01,58.411,0.11,0.19,2.3,6.0,6107.66,6378.86,-563.661,23.79642200751148,11.334767229514153,1.0152306797290584,20.202760180809992
2025-02-04,6089.06,3.5,58.0,-0.48,-0.82,2.3,6.0,5883.04,6196.88,473.846,22.717966150307213,11.286037411751035,6.5531781331255505,17.678343340210052
2025-02-05,6281.08,3.15,57.883,-0.117,-0.2,2.3,6.0,6089.06,6153.47,441.646,22.73816885762201,11.293412813952333,6.51431261085119,19.59915111094337
2025-02-07,6154.99,-1.39,58.11,0.01,0.02,2.3,6.0,6241.97,6107.66,-200.054,22.52497563719265,11.008098480007638,6.111289940176331,19.8162568981474
2025-02-11,5987.75,-0.82,58.138,0.027,0.05,2.3,6.0,6037.12,5883.04,-113.55099999999999,22.484566098861578,11.080001797565458,6.173681931809546,-20.30042056653301
2025-02-12,6044.13,0.94,57.96,-0.18,-0.31,2.3,6.0,5987.75,6089.06,129.674,22.489707498361117,11.047885496353372,6.282005030408244,-19.936928230515463
2025-02-13,6113.19,1.14,57.857,-0.103,-0.18,2.3,6.0,6044.13,6281.08,158.838,22.52827053308896,11.244797622953609,6.716546346198273,-19.72749890627726
2025-02-14,6061.33,-0.85,57.728,-0.129,-0.22,2.3,6.0,6113.19,6241.97,-119.27799999999999,22.38149391374042,10.929905421655752,6.295819353847015,-20.176156517831423
2025-02-18,6094.96,1.69,58.16,0.14,0.25,2.3,6.0,5993.48,6037.12,233.404,22.56381547050263,10.93133754807084,0.7227059828014898,-19.1126272089418
2025-02-19,6119.88,0.41,58.11,-0.05,-0.09,2.3,6.0,6094.96,5987.75,57.316,22.368070893410852,11.200007632450186,0.8796267475025636,-20.06043445552869
2025-02-20,6066.63,-0.87,57.928,-0.182,-0.31,2.3,6.0,6119.88,6044.13,-122.475,22.467234642512942,11.19521021111023,0.7884573603642703,-20.21460453767286
2025-02-21,6098.04,0.52,57.872,-0.056,-0.1,2.3,6.0,6066.63,6113.19,72.243,22.272953745187053,11.016183532134377,0.9895411936137477,-19.86378068125565
2025-02-25,6064.16,-0.52,57.88,0.0,0.0,2.3,6.0,6095.97,5993.48,-73.163,22.366138525660173,11.123299256606082,6.45467956075705,-20.150210138417965
2025-02-26,6144.96,1.33,57.882,0.002,0.0,2.3,6.0,6064.16,6094.96,185.83999999999997,22.392857672388583,11.216686889835326,6.149151822943575,18.928281178382043
2025-02-27,6124.09,-0.34,57.99,0.11,0.19,2.3,6.0,6144.96,6119.88,-48.001,22.57172065000849,11.0916510456553,6.283854271159006,-19.725846393952057
2025-02-28,5997.97,-2.06,57.952,-0.038,-0.07,2.3,6.0,6124.09,6066.63,-290.07599999999996,23.750012164078043,11.45318607621936,0.7466879474879753,-21.955826098415805
2025-03-04,6064.11,0.45,57.558,-0.14,-0.24,2.3,6.0,6037.19,6095.97,61.916,22.68195117763149,11.105573578013793,6.811893947321527,-19.400246703094304
2025-03-05,6121.77,0.95,57.298,-0.26,-0.45,2.3,6.0,6064.11,6064.16,132.618,22.717966150307213,11.293412813952333,6.37913900254092,-18.479138322956118
2025-03-06,6219.96,1.6,57.312,0.014,0.02,2.3,6.0,6121.77,6144.96,225.837,22.651884489037013,11.173402579849062,6.448936861374701,19.582205235143547
2025-03-07,6298.29,1.26,57.457,0.145,0.25,2.3,6.0,6219.96,6124.09,180.159,22.568566073260474,11.032160135800446,6.271101846976656,18.883470924975047
2025-03-11,6206.55,-2.42,57.193,-0.26,-0.45,2.3,6.0,6360.77,6037.19,-354.70599999999996,22.76578402465135,11.443478919160071,6.626254065605437,-19.674243395473155
2025-03-12,6195.26,-0.18,57.365,0.172,0.3,2.3,6.0,6206.55,6064.11,-25.966999999999995,22.511686405076176,11.128894006259427,6.61007674127968,14.778685257416596
2025-03-13,6242.07,0.76,57.339,-0.026,-0.05,2.3,6.0,6195.26,6121.77,107.663,22.454921382281753,11.042777825355497,0.712949807856125,19.893382135106048
2025-03-14,6294.11,0.83,57.241,-0.098,-0.17,2.3,6.0,6242.07,6219.96,119.692,22.566985045263404,11.069150828453848,6.667808846630704,19.715818788768992
2025-03-18,6284.68,-0.34,57.269,-0.017,-0.03,2.3,6.0,6306.19,6360.77,-49.473,22.859796345728437,11.138392002730184,0.8329091229351039,19.636068156059505
2025-03-19,6313.12,0.45,57.221,-0.048,-0.08,2.3,6.0,6284.68,6206.55,65.41199999999999,22.78250467143628,10.952401765007385,6.874591386203703,19.787333467366558
2025-03-20,6323.13,0.16,57.19,-0.03,-0.05,2.3,6.0,6313.12,6195.26,23.022999999999996,22.446032434866087,10.920365425621668,0.7227059828014898,18.932485893825984
2025-03-21,6266.75,-0.89,57.324,0.134,0.23,2.3,6.0,6323.13,6242.07,-129.674,23.18881975830356,11.151108753342497,0.9477893989335261,20.76248655106123
2025-03-25,6159.85,-0.52,57.54,0.25,0.43,2.3,6.0,6192.02,6306.19,-73.991,22.28141045520349,10.998443163700694,6.256881838649521,-20.219928772133713
2025-03-26,6166.05,0.1,57.73,0.19,0.33,2.3,6.0,6159.85,6284.68,14.26,22.314539778956508,10.954676242858241,0.7227059828014898,-20.72326583794641
2025-03-27,6139.51,-0.43,57.379,-0.351,-0.61,2.3,6.0,6166.05,6313.12,-61.041999999999994,22.227343233944907,10.95729422815692,6.7207869426112,-19.05094137678165
2025-03-28,6147.44,0.13,57.37,-0.01,-0.02,2.3,6.0,6139.51,6323.13,18.238999999999997,21.949978128535093,10.694691138568423,0.9321640810304452,18.06885119922677
2025-04-03,6145.73,-1.63,57.007,-0.214,-0.37,2.3,6.0,6247.68,6166.05,-234.48499999999999,22.253660542256508,10.87504268351396,0.8544153281560676,-18.431620693881896
2025-04-04,6084.19,-1.0,57.411,0.404,0.71,2.3,6.0,6145.73,6139.51,-141.54199999999997,23.18199961251593,10.881456468681893,1.000631880307906,-20.420145202159517
